v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2011  9 14.000000     0.1964657310       0.445677970  
2011  9 19.000000     0.1849022951       0.348702327  
2011  9 24.000000     0.1724312338       0.288879473  
2011  9 29.000000     0.1599302439       0.200364479  
2011 10  4.000000     0.1481642501       0.114066617  
2011 10  9.000000     0.1356614681       0.056112076  
2011 10 14.000000     0.1241481746      -0.037556589  
2011 10 19.000000     0.1131147140      -0.101989781  
2011 10 24.000000     0.1019673368      -0.160142806  
2011 10 29.000000     0.0924305006      -0.242514816  
2011 11  3.000000     0.0831095330      -0.281698229  
2011 11  8.000000     0.0746067925      -0.337768306  
2011 11 13.000000     0.0678020845      -0.392982415  
2011 11 18.000000     0.0611778941      -0.410234220  
2011 11 23.000000     0.0562153373      -0.456574959  
2011 11 28.000000     0.0526104671      -0.475110381  
2011 12  3.000000     0.0495307160      -0.476288201  
2011 12  8.000000     0.0485873055      -0.501258262  
2011 12 13.000000     0.0484942774      -0.482454838  
2011 12 18.000000     0.0494874986      -0.471658316  
2011 12 23.000000     0.0525538341      -0.464474592  
2011 12 28.000000     0.0561164893      -0.415620378  
2012  1  2.000000     0.0613409152      -0.391999871  
2012  1  7.000000     0.0681239086      -0.346982416  
2012  1 12.000000     0.0753318684      -0.279250434  
2012  1 17.000000     0.0844851642      -0.237869524  
2012  1 22.000000     0.0944738365      -0.157589261  
2012  1 27.000000     0.1051341967      -0.080734937  
2012  2  1.000000     0.1176052199      -0.015159164  
2012  2  6.000000     0.1302515655       0.090358905  
2012  2 11.000000     0.1439199872       0.171284675  
2012  2 16.000000     0.1588307350       0.264060254  
2012  2 21.000000     0.1735712178       0.380872084  
2012  2 26.000000     0.1895954903       0.466794446  
2012  3  2.000000     0.2060366841       0.583584256  
2012  3  7.000000     0.2223084001       0.698629943  
2012  3 12.000000     0.2397861037       0.793423746  
2012  3 17.000000     0.2568712438       0.924126781  
2012  3 22.000000     0.2740822685       1.029634895  
2012  3 27.000000     0.2920261228       1.136421800  
2012  4  1.000000     0.3090237770       1.266858381  
2012  4  6.000000     0.3264602937       1.361436498  
2012  4 11.000000     0.3438272289       1.478260923  
