v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2009 12  3.000000    23.5648664601      -3.656677875  
2009 12  8.000000    23.5656557660      -3.648269383  
2009 12 13.000000    23.5677846319      -3.622631494  
2009 12 18.000000    23.5714739285      -3.609403871  
2009 12 23.000000    23.5760062992      -3.559347254  
2009 12 28.000000    23.5823830528      -3.531115627  
2010  1  2.000000    23.5894177541      -3.470078457  
2010  1  7.000000    23.5980835169      -3.416255702  
2010  1 12.000000    23.6076551966      -3.353782695  
2010  1 17.000000    23.6182814688      -3.272331787  
2010  1 22.000000    23.6302096452      -3.207413608  
2010  1 27.000000    23.6425957435      -3.107787890  
2010  2  1.000000    23.6564235463      -3.031198384  
2010  2  6.000000    23.6704755018      -2.927733463  
2010  2 11.000000    23.6856643309      -2.830674197  
2010  2 16.000000    23.7012730019      -2.732363903  
2010  2 21.000000    23.7173545737      -2.615411670  
2010  2 26.000000    23.7341890360      -2.520656660  
2010  3  3.000000    23.7508617288      -2.394955263  
2010  3  8.000000    23.7683983949      -2.294467854  
2010  3 13.000000    23.7855395890      -2.174252928  
2010  3 18.000000    23.8031899364      -2.060560007  
2010  3 23.000000    23.8206361887      -1.953778197  
2010  3 28.000000    23.8378895861      -1.829293917  
2010  4  2.000000    23.8553029855      -1.732869265  
2010  4  7.000000    23.8718980760      -1.609530316  
2010  4 12.000000    23.8887741143      -1.513633564  
2010  4 17.000000    23.9046138859      -1.405285440  
2010  4 22.000000    23.9203544267      -1.303393010  
2010  4 27.000000    23.9353159521      -1.216260287  
2010  5  2.000000    23.9494770577      -1.111916817  
2010  5  7.000000    23.9632978967      -1.040893231  
2010  5 12.000000    23.9757041521      -0.946615128  
2010  5 17.000000    23.9879035759      -0.881232596  
2010  5 22.000000    23.9985404091      -0.810001342  
2010  5 27.000000     0.0085955820      -0.744114648  
2010  6  1.000000     0.0174721630      -0.699739736  
2010  6  6.000000     0.0250722000      -0.637749857  
2010  6 11.000000     0.0320074639      -0.613035056  
2010  6 16.000000     0.0371058285      -0.567698339  
2010  6 21.000000     0.0417126840      -0.551005170  
2010  6 26.000000     0.0444910933      -0.533576306  
2010  7  1.000000     0.0464240651      -0.518718629  
2010  7  6.000000     0.0470621779      -0.530314606  
2010  7 11.000000     0.0461943237      -0.522298114  
2010  7 16.000000     0.0446499021      -0.553070760  
2010  7 21.000000     0.0411960616      -0.563960293  
2010  7 26.000000     0.0373017586      -0.600544296  
2010  7 31.000000     0.0317187150      -0.639272257  
2010  8  5.000000     0.0253627762      -0.675353961  
2010  8 10.000000     0.0180318915      -0.739819705  
2010  8 15.000000     0.0093870023      -0.780333220  
2010  8 20.000000     0.0005070146      -0.857499584  
2010  8 25.000000    23.9901352697      -0.913160564  
2010  8 30.000000    23.9797817035      -0.988244447  
2010  9  4.000000    23.9683795890      -1.065487570  
2010  9  9.000000    23.9567035834      -1.132150716  
2010  9 14.000000    23.9448593727      -1.225460004  
2010  9 19.000000    23.9323531521      -1.288465126  
2010  9 24.000000    23.9204372626      -1.382540968  
2010  9 29.000000    23.9078613465      -1.451887508  
2010 10  4.000000    23.8960656824      -1.531816688  
2010 10  9.000000    23.8842106226      -1.611902432  
2010 10 14.000000    23.8728441386      -1.672292844  
2010 10 19.000000    23.8623164876      -1.755634742  
2010 10 24.000000    23.8519320221      -1.802672700  
2010 10 29.000000    23.8429973063      -1.873933984  
2010 11  3.000000    23.8342799543      -1.918027698  
2010 11  8.000000    23.8270450330      -1.963943173  
2010 11 13.000000    23.8206308148      -2.008858162  
2010 11 18.000000    23.8152838609      -2.026995989  
2010 11 23.000000    23.8114854128      -2.065459669  
2010 11 28.000000    23.8083477339      -2.064760067  
2010 12  3.000000    23.8071396687      -2.083002702  
2010 12  8.000000    23.8066338138      -2.074962406  
2010 12 13.000000    23.8078684339      -2.062836586  
2010 12 18.000000    23.8102724211      -2.051753590  
2010 12 23.000000    23.8138302938      -2.010720577  
2010 12 28.000000    23.8190883125      -1.990159877  
2011  1  2.000000    23.8250156350      -1.931652472  
2011  1  7.000000    23.8328181815      -1.889728701  
2011  1 12.000000    23.8412420717      -1.826288446  
2011  1 17.000000    23.8511521009      -1.756231974  
2011  1 22.000000    23.8620345811      -1.692353574  
2011  1 27.000000    23.8737079603      -1.598656408  
2011  2  1.000000    23.8867710298      -1.528035599  
2011  2  6.000000    23.9000781673      -1.423818639  
2011  2 11.000000    23.9148060173      -1.336174199  
2011  2 16.000000    23.9296745038      -1.234271916  
2011  2 21.000000    23.9454733437      -1.125239972  
2011  2 26.000000    23.9617433416      -1.029176772  
2011  3  3.000000    23.9781983661      -0.905240103  
2011  3  8.000000    23.9954942561      -0.808297677  
2011  3 13.000000     0.0123881007      -0.683589557  
2011  3 18.000000     0.0300996951      -0.576320997  
2011  3 23.000000     0.0473277547      -0.462859370  
2011  3 28.000000     0.0648515324      -0.342354125  
2011  4  2.000000     0.0822588179      -0.242075105  
2011  4  7.000000     0.0991687645      -0.116371184  
2011  4 12.000000     0.1163421119      -0.021670718  
2011  4 17.000000     0.1324434843       0.094874870  
2011  4 22.000000     0.1487916278       0.193367567  
2011  4 27.000000     0.1640608232       0.290165953  
2011  5  2.000000     0.1790153485       0.394188129  
2011  5  7.000000     0.1933221486       0.471136357  
2011  5 12.000000     0.2065019806       0.571508625  
2011  5 17.000000     0.2194765469       0.637704421  
2011  5 22.000000     0.2308150133       0.720463010  
2011  5 27.000000     0.2419374785       0.785476417  
2011  6  1.000000     0.2515108235       0.841651023  
2011  6  6.000000     0.2602711394       0.906178465  
2011  6 11.000000     0.2680347674       0.938065867  
2011  6 16.000000     0.2742090782       0.992450261  
2011  6 21.000000     0.2799132360       1.011058603  
2011  6 26.000000     0.2836187853       1.042033191  
2011  7  1.000000     0.2868343977       1.057170239  
2011  7  6.000000     0.2883023188       1.057996511  
2011  7 11.000000     0.2887006343       1.070010091  
2011  7 16.000000     0.2880786367       1.046061374  
2011  7 21.000000     0.2856999953       1.045286556  
2011  7 26.000000     0.2828911688       1.009609396  
2011  7 31.000000     0.2780928145       0.984097762  
2011  8  5.000000     0.2728698836       0.947299089  
2011  8 10.000000     0.2661557232       0.893464505  
2011  8 15.000000     0.2585044210       0.856013690  
2011  8 20.000000     0.2502469409       0.782549542  
2011  8 25.000000     0.2405082340       0.735114903  
2011  8 30.000000     0.2308088940       0.657249019  
2011  9  4.000000     0.2196545905       0.590021975  
2011  9  9.000000     0.2085774901       0.519231073  
2011  9 14.000000     0.1967687996       0.431902450  
2011  9 19.000000     0.1845763801       0.368319554  
2011  9 24.000000     0.1726223582       0.272323936  
2011  9 29.000000     0.1599135955       0.207025729  
2011 10  4.000000     0.1480768468       0.119041104  
2011 10  9.000000     0.1357214288       0.043961197  
2011 10 14.000000     0.1241995385      -0.025253725  
2011 10 19.000000     0.1129645663      -0.108525005  
2011 10 24.000000     0.1021010049      -0.160323234  
2011 10 29.000000     0.0924458227      -0.239070016  
2011 11  3.000000     0.0828820388      -0.283044340  
2011 11  8.000000     0.0749831352      -0.341452420  
2011 11 13.000000     0.0674411974      -0.385686540  
2011 11 18.000000     0.0613418544      -0.415782453  
2011 11 23.000000     0.0563411627      -0.458276628  
2011 11 28.000000     0.0522434991      -0.464207448  
2011 12  3.000000     0.0499723247      -0.492924803  
2011 12  8.000000     0.0482671849      -0.486335159  
2011 12 13.000000     0.0485720890      -0.488278446  
2011 12 18.000000     0.0496388350      -0.478038019  
2011 12 23.000000     0.0522966159      -0.448807682  
2011 12 28.000000     0.0563242140      -0.433216519  
2012  1  2.000000     0.0612698084      -0.380234967  
2012  1  7.000000     0.0680797346      -0.348880853  
2012  1 12.000000     0.0753840083      -0.285748355  
2012  1 17.000000     0.0845289367      -0.228369057  
2012  1 22.000000     0.0943035823      -0.164170237  
2012  1 27.000000     0.1053435612      -0.079558464  
2012  2  1.000000     0.1174990333      -0.012732182  
2012  2  6.000000     0.1301365812       0.088986046  
2012  2 11.000000     0.1442540387       0.167920294  
2012  2 16.000000     0.1584020672       0.272415892  
2012  2 21.000000     0.1738948780       0.371859229  
2012  2 26.000000     0.1895276367       0.470610261  
2012  3  2.000000     0.2058167262       0.589201066  
2012  3  7.000000     0.2226986836       0.684453201  
2012  3 12.000000     0.2394148925       0.810596937  
2012  3 17.000000     0.2570640330       0.911886031  
2012  3 22.000000     0.2741057388       1.031410488  
2012  3 27.000000     0.2918713709       1.145765553  
2012  4  1.000000     0.3091639278       1.251336697  
2012  4  6.000000     0.3264362353       1.375731791  
2012  4 11.000000     0.3437460494       1.471142500  
2012  4 16.000000     0.3602097610       1.593252720  
2012  4 21.000000     0.3770543453       1.688476202  
2012  4 26.000000     0.3926364182       1.794637035  
2012  5  1.000000     0.4083484940       1.895828267  
2012  5  6.000000     0.4230304220       1.980564751  
2012  5 11.000000     0.4370730870       2.083594761  
2012  5 16.000000     0.4506855278       2.152641273  
2012  5 21.000000     0.4628265394       2.244633277  
2012  5 26.000000     0.4748927128       2.308583778  
2012  5 31.000000     0.4851597354       2.376905091  
2012  6  5.000000     0.4950871880       2.441523068  
2012  6 10.000000     0.5035986939       2.483085809  
2012  6 15.000000     0.5109740794       2.543303205  
2012  6 20.000000     0.5176258409       2.565878014  
2012  6 25.000000     0.5223575226       2.608700918  
2012  6 30.000000     0.5267662729       2.624035019  
2012  7  5.000000     0.5290988312       2.638596708  
2012  7 10.000000     0.5308360867       2.652327802  
2012  7 15.000000     0.5310547121       2.638203671  
2012  7 20.000000     0.5298900549       2.644676542  
2012  7 25.000000     0.5280351439       2.612305987  
2012  7 30.000000     0.5241669988       2.599297582  
2012  8  4.000000     0.5200656521       2.561983878  
2012  8  9.000000     0.5140221715       2.520950532  
2012  8 14.000000     0.5074667093       2.484371576  
2012  8 19.000000     0.4997469221       2.418184409  
2012  8 24.000000     0.4908295949       2.376825563  
2012  8 29.000000     0.4817180290       2.299031064  
2012  9  3.000000     0.4709961823       2.242016934  
2012  9  8.000000     0.4605409125       2.167188566  
2012  9 13.000000     0.4487950940       2.088606270  
2012  9 18.000000     0.4370561377       2.022462752  
2012  9 23.000000     0.4250069914       1.928639852  
2012  9 28.000000     0.4124007950       1.865801924  
2012 10  3.000000     0.4004774601       1.772391741  
