v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1963 10 31.000000    10.7640238379       8.664200141  
1963 11 10.000000    10.7867413214       8.531664955  
1963 11 20.000000    10.8044294752       8.423856221  
1963 11 30.000000    10.8167434848       8.349364746  
1963 12 10.000000    10.8234804569       8.315566228  
1963 12 20.000000    10.8244305906       8.324375993  
1963 12 30.000000    10.8195257486       8.370783079  
1964  1  9.000000    10.8089456286       8.446163580  
1964  1 19.000000    10.7931245404       8.544165162  
1964  1 29.000000    10.7728904374       8.662870169  
1964  2  8.000000    10.7492803510       8.802956470  
1964  2 18.000000    10.7233707704       8.962964658  
1964  2 28.000000    10.6962942934       9.134723869  
1964  3  9.000000    10.6691202188       9.304968081  
1964  3 19.000000    10.6429738525       9.460334155  
1964  3 29.000000    10.6190910789       9.592379955  
1964  4  8.000000    10.5985949567       9.699901750  
1964  4 18.000000    10.5824519762       9.785068805  
1964  4 28.000000    10.5713184705       9.847899209  
1964  5  8.000000    10.5654787701       9.883911865  
1964  5 18.000000    10.5650851275       9.885513852  
1964  5 28.000000    10.5701718434       9.847354042  
1964  6  7.000000    10.5807012027       9.770489301  
1964  6 17.000000    10.5965948655       9.661561525  
1964  6 27.000000    10.6175276226       9.528903364  
1964  7  7.000000    10.6429841284       9.377154039  
1964  7 17.000000    10.6723440936       9.205498997  
1964  7 27.000000    10.7048868243       9.011293672  
1964  8  6.000000    10.7399862345       8.794386886  
1964  8 16.000000    10.7770687780       8.560304950  
1964  8 26.000000    10.8155034894       8.319268362  
1964  9  5.000000    10.8546432276       8.080685435  
1964  9 15.000000    10.8937026778       7.849385013  
1964  9 25.000000    10.9318172735       7.625421431  
1964 10  5.000000    10.9681971083       7.407261853  
1964 10 15.000000    11.0020774876       7.197233017  
1964 10 25.000000    11.0328147532       7.003160352  
1964 11  4.000000    11.0598592743       6.835381768  
1964 11 14.000000    11.0826024199       6.702311121  
1964 11 24.000000    11.1004731039       6.606061732  
1964 12  4.000000    11.1129406800       6.543428367  
1964 12 14.000000    11.1195784586       6.510811123  
1964 12 24.000000    11.1202768353       6.507822617  
1965  1  3.000000    11.1151708656       6.538558427  
1965  1 13.000000    11.1046164722       6.607814459  
1965  1 23.000000    11.0891707043       6.715003323  
1965  2  2.000000    11.0694259387       6.852502676  
1965  2 12.000000    11.0461501385       7.007886734  
1965  2 22.000000    11.0203529818       7.169171242  
1965  3  4.000000    10.9932082345       7.329984756  
1965  3 14.000000    10.9660882682       7.488598877  
1965  3 24.000000    10.9403049144       7.643735866  
1965  4  3.000000    10.9169359790       7.790187799  
1965  4 13.000000    10.8969018527       7.917372424  
1965  4 23.000000    10.8809030429       8.013887399  
1965  5  3.000000    10.8695525446       8.072824848  
1965  5 13.000000    10.8634256040       8.094133592  
1965  5 23.000000    10.8628610489       8.083215817  
1965  6  2.000000    10.8679853180       8.044962235  
1965  6 12.000000    10.8786636805       7.979557628  
1965  6 22.000000    10.8945070011       7.883379805  
1965  7  2.000000    10.9151085122       7.752499386  
1965  7 12.000000    10.9400333400       7.587792014  
1965  7 22.000000    10.9688239294       7.396442188  
1965  8  1.000000    11.0010271048       7.188041377  
1965  8 11.000000    11.0360201106       6.970147411  
1965  8 21.000000    11.0730704351       6.745018346  
1965  8 31.000000    11.1114147749       6.510888810  
1965  9 10.000000    11.1502352978       6.267399674  
1965  9 20.000000    11.1888208447       6.018944141  
1965  9 30.000000    11.2265273929       5.774949140  
1965 10 10.000000    11.2626691571       5.546424812  
1965 10 20.000000    11.2965713229       5.340156294  
1965 10 30.000000    11.3274643354       5.157327674  
1965 11  9.000000    11.3545431698       4.996369292  
1965 11 19.000000    11.3771396995       4.856947033  
1965 11 29.000000    11.3946955832       4.744041262  
1965 12  9.000000    11.4068604670       4.666386314  
1965 12 19.000000    11.4134705918       4.631084689  
1965 12 29.000000    11.4143866794       4.639671341  
1966  1  8.000000    11.4096044921       4.686696041  
1966  1 18.000000    11.3992786836       4.763562974  
1966  1 28.000000    11.3837828631       4.864276732  
1966  2  7.000000    11.3638895124       4.987054185  
1966  2 17.000000    11.3406085237       5.132552046  
1966  2 27.000000    11.3150684670       5.298777549  
1966  3  9.000000    11.2884500822       5.476832453  
1966  3 19.000000    11.2618120182       5.653154014  
1966  3 29.000000    11.2362250678       5.814266352  
1966  4  8.000000    11.2128123317       5.951871321  
1966  4 18.000000    11.1926195209       6.064890834  
1966  4 28.000000    11.1766222185       6.155013401  
1966  5  8.000000    11.1655172375       6.221686133  
1966  5 18.000000    11.1596506264       6.259919734  
1966  5 28.000000    11.1591877114       6.261802656  
1966  6  7.000000    11.1641065687       6.222305750  
1966  6 17.000000    11.1743267850       6.142848498  
1966  6 27.000000    11.1897553997       6.030239221  
1966  7  7.000000    11.2101137454       5.892838584  
1966  7 17.000000    11.2349876815       5.734960712  
1966  7 27.000000    11.2638128435       5.555655658  
1966  8  6.000000    11.2958773655       5.352614500  
1966  8 16.000000    11.3305226034       5.126133291  
1966  8 26.000000    11.3671152281       4.882403744  
1966  9  5.000000    11.4050281154       4.632022112  
1966  9 15.000000    11.4436667786       4.384273856  
1966  9 25.000000    11.4823017684       4.143896106  
1966 10  5.000000    11.5201153490       3.910867307  
1966 10 15.000000    11.5562883956       3.683905180  
1966 10 25.000000    11.5899844826       3.465978673  
1966 11  4.000000    11.6205174777       3.265276178  
1966 11 14.000000    11.6473248777       3.092249820  
1966 11 24.000000    11.6698499949       2.955097642  
1966 12  4.000000    11.6875951116       2.855411002  
1966 12 14.000000    11.7000416012       2.789902052  
1966 12 24.000000    11.7067369598       2.755171856  
1967  1  3.000000    11.7075133483       2.751136654  
1967  1 13.000000    11.7024574942       2.782249024  
1967  1 23.000000    11.6919614168       2.853067427  
1967  2  2.000000    11.6766463839       2.962480616  
1967  2 12.000000    11.6571590054       3.102516294  
