v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1961 10  1.000000    10.1056614263      12.427717662  
1961 10 11.000000    10.1371142947      12.244423648  
1961 10 21.000000    10.1643382255      12.092799433  
1961 10 31.000000    10.1876015145      11.987568537  
1961 11 10.000000    10.2060892938      11.898245069  
1961 11 20.000000    10.2184916612      11.819096929  
1961 11 30.000000    10.2248823035      11.786803304  
1961 12 10.000000    10.2258880070      11.807687232  
1961 12 20.000000    10.2211104228      11.845057227  
1961 12 30.000000    10.2100716295      11.894755396  
1962  1  9.000000    10.1937017513      11.990968542  
1962  1 19.000000    10.1734641059      12.128129153  
1962  1 29.000000    10.1497368142      12.262926828  
1962  2  8.000000    10.1228342917      12.394118439  
1962  2 18.000000    10.0946119965      12.552204484  
1962  2 28.000000    10.0670434295      12.721574510  
1962  3 10.000000    10.0406701625      12.858692721  
1962  3 20.000000    10.0160331576      12.969622321  
1962  3 30.000000     9.9949064749      13.084629975  
1962  4  9.000000     9.9787960903      13.183726301  
1962  4 19.000000     9.9675916941      13.230144122  
1962  4 29.000000     9.9611402788      13.240782064  
1962  5  9.000000     9.9605784004      13.245773184  
1962  5 19.000000     9.9664627617      13.223621668  
1962  5 29.000000     9.9777303501      13.146613165  
1962  6  8.000000     9.9937672714      13.039508136  
1962  6 18.000000    10.0151056123      12.930297960  
1962  6 28.000000    10.0415167304      12.796163821  
1962  7  8.000000    10.0715439746      12.616389630  
1962  7 18.000000    10.1043893186      12.421126450  
1962  7 28.000000    10.1403107724      12.234501376  
1962  8  7.000000    10.1786796002      12.031752171  
1962  8 17.000000    10.2178545245      11.798643760  
1962  8 27.000000    10.2572016437      11.568706430  
1962  9  6.000000    10.2968289337      11.361781032  
1962  9 16.000000    10.3357699318      11.151561544  
1962  9 26.000000    10.3725200350      10.929071491  
1962 10  6.000000    10.4066083444      10.730635569  
1962 10 16.000000    10.4380344626      10.571489221  
1962 10 26.000000    10.4657871577      10.422435242  
1962 11  5.000000    10.4885398829      10.279287369  
1962 11 15.000000    10.5061859711      10.179600751  
1962 11 25.000000    10.5189219922      10.131396644  
1962 12  5.000000    10.5258969033      10.101156173  
1962 12 15.000000    10.5264261438      10.087153032  
1962 12 25.000000    10.5211116032      10.125155011  
1963  1  4.000000    10.5106931779      10.212660811  
1963  1 14.000000    10.4950878648      10.309297377  
1963  1 24.000000    10.4744944369      10.415019448  
1963  2  3.000000    10.4504464490      10.561365129  
1963  2 13.000000    10.4245125318      10.733454957  
1963  2 23.000000    10.3971596248      10.887590856  
1963  3  5.000000    10.3692175513      11.028347525  
1963  3 15.000000    10.3426773480      11.184243169  
1963  3 25.000000    10.3190586573      11.333630419  
1963  4  4.000000    10.2986466766      11.436869575  
1963  4 14.000000    10.2819505038      11.508246660  
1963  4 24.000000    10.2704180557      11.576289693  
1963  5  4.000000    10.2648294282      11.617203545  
1963  5 14.000000    10.2645617562      11.600833656  
1963  5 24.000000    10.2694620409      11.551017176  
1963  6  3.000000    10.2803089116      11.494718190  
1963  6 13.000000    10.2969234281      11.407829229  
1963  6 23.000000    10.3180939488      11.268748422  
1963  7  3.000000    10.3433497147      11.107202461  
1963  7 13.000000    10.3729414132      10.947198790  
1963  7 23.000000    10.4062041379      10.763219221  
1963  8  2.000000    10.4416883370      10.540720829  
1963  8 12.000000    10.4788819242      10.313319326  
1963  8 22.000000    10.5178508688      10.100485996  
1963  9  1.000000    10.5575535426       9.875699428  
1963  9 11.000000    10.5965767871       9.630405413  
1963  9 21.000000    10.6345766878       9.400609318  
1963 10  1.000000    10.6713710937       9.201559847  
1963 10 11.000000    10.7057933483       9.005039731  
1963 10 21.000000    10.7366167385       8.807442359  
1963 10 31.000000    10.7636409018       8.646831451  
1963 11 10.000000    10.7867184869       8.532310011  
1963 11 20.000000    10.8047294995       8.432674156  
1963 11 30.000000    10.8168415374       8.348223483  
1963 12 10.000000    10.8233856431       8.316048487  
1963 12 20.000000    10.8244942543       8.336480376  
1963 12 30.000000    10.8195817329       8.372807015  
1964  1  9.000000    10.8086826413       8.426882839  
1964  1 19.000000    10.7928917182       8.532084857  
1964  1 29.000000    10.7731424170       8.676291604  
1964  2  8.000000    10.7496632603       8.817160610  
1964  2 18.000000    10.7233094384       8.959334380  
1964  2 28.000000    10.6959955361       9.130928245  
1964  3  9.000000    10.6690822558       9.309774892  
1964  3 19.000000    10.6430528408       9.454463572  
1964  3 29.000000    10.6189772747       9.576432228  
1964  4  8.000000    10.5985790925       9.702432447  
1964  4 18.000000    10.5827842688       9.806450152  
1964  4 28.000000    10.5715080856       9.855120624  
1964  5  8.000000    10.5651473102       9.870294829  
1964  5 18.000000    10.5647432059       9.877758261  
1964  5 28.000000    10.5702994127       9.851280810  
1964  6  7.000000    10.5809316323       9.767736487  
1964  6 17.000000    10.5965660915       9.656082970  
1964  6 27.000000    10.6175409438       9.539732883  
1964  7  7.000000    10.6431724570       9.392441593  
1964  7 17.000000    10.6722723631       9.198733269  
1964  7 27.000000    10.7045153074       8.992218991  
1964  8  6.000000    10.7398985583       8.792161566  
1964  8 16.000000    10.7773788629       8.571497708  
1964  8 26.000000    10.8156695912       8.321634862  
1964  9  5.000000    10.8545354442       8.078513365  
1964  9 15.000000    10.8937027685       7.856998841  
1964  9 25.000000    10.9318853120       7.629382928  
1964 10  5.000000    10.9679959648       7.392352054  
1964 10 15.000000    11.0018434278       7.183825202  
1964 10 25.000000    11.0329964522       7.013729127  
1964 11  4.000000    11.0601959623       6.852178516  
1964 11 14.000000    11.0825852254       6.700808373  
1964 11 24.000000    11.1002676132       6.597644870  
1964 12  4.000000    11.1129338012       6.545067203  
1964 12 14.000000    11.1195949223       6.509689954  
1964 12 24.000000    11.1200995928       6.495458651  
1965  1  3.000000    11.1151432802       6.537593773  
1965  1 13.000000    11.1049483013       6.627582185  
1965  1 23.000000    11.0893777445       6.725950439  
1965  2  2.000000    11.0691626366       6.838421647  
1965  2 12.000000    11.0458518586       6.994554843  
1965  2 22.000000    11.0204323626       7.173312373  
1965  3  4.000000    10.9933775470       7.333101432  
1965  3 14.000000    10.9660542206       7.483748217  
1965  3 24.000000    10.9403272409       7.650496528  
1965  4  3.000000    10.9171384069       7.805986113  
1965  4 13.000000    10.8968709863       7.913631132  
1965  4 23.000000    10.8805342143       7.992479223  
1965  5  3.000000    10.8694071463       8.066811500  
1965  5 13.000000    10.8637364555       8.107976446  
1965  5 23.000000    10.8631024760       8.090116100  
1965  6  2.000000    10.8678704750       8.041022569  
1965  6 12.000000    10.8785681696       7.983004540  
1965  6 22.000000    10.8945710301       7.888495219  
1965  7  2.000000    10.9149944559       7.740841798  
1965  7 12.000000    10.9398027924       7.573041000  
1965  7 22.000000    10.9689425903       7.404322932  
1965  8  1.000000    11.0013858254       7.206780180  
1965  8 11.000000    11.0360607080       6.971345214  
1965  8 21.000000    11.0728239024       6.733976828  
1965  8 31.000000    11.1113445221       6.509203218  
1965  9 10.000000    11.1502897873       6.269211123  
1965  9 20.000000    11.1887003106       6.010879057  
1965  9 30.000000    11.2264674530       5.771728481  
1965 10 10.000000    11.2629513259       5.561989714  
1965 10 20.000000    11.2968001515       5.352712524  
1965 10 30.000000    11.3272562329       5.145891648  
1965 11  9.000000    11.3542672804       4.980180656  
1965 11 19.000000    11.3771863654       4.859256376  
1965 11 29.000000    11.3947937319       4.752048643  
1965 12  9.000000    11.4067891253       4.664377699  
1965 12 19.000000    11.4135428405       4.632834043  
1965 12 29.000000    11.4146628430       4.652224610  
1966  1  8.000000    11.4095931644       4.686609107  
1966  1 18.000000    11.3988944252       4.743406770  
1966  1 28.000000    11.3836116935       4.854452135  
1966  2  7.000000    11.3641487940       5.001784851  
1966  2 17.000000    11.3408129374       5.145049564  
1966  2 27.000000    11.3149870432       5.294183909  
1966  3  9.000000    11.2884172319       5.474373577  
1966  3 19.000000    11.2619015193       5.658021482  
1966  3 29.000000    11.2360956755       5.806640513  
1966  4  8.000000    11.2125400209       5.936311992  
1966  4 18.000000    11.1927016925       6.069879160  
1966  4 28.000000    11.1770079307       6.176393315  
1966  5  8.000000    11.1656136523       6.226485760  
1966  5 18.000000    11.1593787231       6.245918442  
1966  5 28.000000    11.1590485003       6.255755285  
1966  6  7.000000    11.1641907112       6.226185156  
1966  6 17.000000    11.1742884365       6.138792781  
1966  6 27.000000    11.1896737627       6.025593715  
1966  7  7.000000    11.2103249122       5.905282201  
1966  7 17.000000    11.2352422528       5.749089466  
1966  7 27.000000    11.2636522130       5.546755725  
1966  8  6.000000    11.2955485343       5.334263899  
1966  8 16.000000    11.3305238305       5.125917340  
1966  8 26.000000    11.3672828743       4.893272577  
1966  9  5.000000    11.4050100956       4.633134782  
1966  9 15.000000    11.4436786881       4.382823632  
1966  9 25.000000    11.4825332846       4.152365060  
1966 10  5.000000    11.5201537938       3.913326399  
1966 10 15.000000    11.5559368009       3.667753649  
1966 10 25.000000    11.5897739756       3.454281488  
1966 11  4.000000    11.6207411581       3.277587245  
1966 11 14.000000    11.6475279386       3.107812541  
1966 11 24.000000    11.6697864234       2.952027183  
1966 12  4.000000    11.6876147042       2.847835319  
1966 12 14.000000    11.7001783152       2.792280065  
1966 12 24.000000    11.7065675248       2.752753954  
1967  1  3.000000    11.7071550781       2.738466694  
1967  1 13.000000    11.7025165911       2.783438701  
1967  1 23.000000    11.6923809510       2.873568688  
1967  2  2.000000    11.6767732504       2.971126563  
1967  2 12.000000    11.6569216295       3.087223871  
