v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1960 11 15.000000     9.9150673577      13.454816055  
1960 11 25.000000     9.9218916682      13.426038997  
1960 12  5.000000     9.9226857190      13.428959642  
1960 12 15.000000     9.9175048692      13.463134098  
1960 12 25.000000     9.9065604851      13.527070879  
1961  1  4.000000     9.8903638796      13.617707081  
1961  1 14.000000     9.8696177567      13.730909944  
1961  1 24.000000     9.8452118384      13.861527142  
1961  2  3.000000     9.8182836731      14.003325521  
1961  2 13.000000     9.7900270582      14.149857378  
1961  2 23.000000     9.7617196830      14.294434549  
1961  3  5.000000     9.7346727257      14.430508895  
1961  3 15.000000     9.7100479407      14.552383164  
1961  3 25.000000     9.6889340153      14.654949203  
1961  4  4.000000     9.6722338202      14.734161324  
1961  4 14.000000     9.6605932667      14.787187455  
1961  4 24.000000     9.6545155286      14.811968926  
1961  5  4.000000     9.6542396405      14.807632205  
1961  5 14.000000     9.6597979472      14.774160689  
1961  5 24.000000     9.6711058101      14.712088357  
1961  6  3.000000     9.6878581959      14.622835314  
1961  6 13.000000     9.7096608986      14.508193861  
1961  6 23.000000     9.7360442619      14.370330091  
1961  7  3.000000     9.7663986487      14.211985573  
1961  7 13.000000     9.8001187558      14.035980388  
1961  7 23.000000     9.8365372068      13.845488002  
1961  8  2.000000     9.8749185733      13.644039516  
1961  8 12.000000     9.9145730554      13.435131369  
1961  8 22.000000     9.9547433941      13.222661301  
1961  9  1.000000     9.9946625458      13.010681921  
1961  9 11.000000    10.0336121678      12.803186379  
1961  9 21.000000    10.0708097266      12.604519233  
1961 10  1.000000    10.1055195269      12.418908774  
1961 10 11.000000    10.1370476766      12.250449185  
1961 10 21.000000    10.1646758356      12.103314814  
1961 10 31.000000    10.1878018751      11.981127315  
